year,race_name,safetycar_events,first_deploy_lap,last_retreated_lap,total_safetycar_laps
2021,Abu Dhabi Grand Prix,1,54,58.0,3
2021,Austrian Grand Prix,1,1,4.0,2
2021,Azerbaijan Grand Prix,2,32,49.0,4
2021,Bahrain Grand Prix,1,1,4.0,2
2021,Belgian Grand Prix,1,1,,2
2021,Emilia Romagna Grand Prix,1,2,7.0,4
2021,Hungarian Grand Prix,1,1,2.0,1
2021,Italian Grand Prix,1,26,32.0,5
2021,Mexico City Grand Prix,1,1,5.0,3
2021,Portuguese Grand Prix,1,2,7.0,4
2021,Saudi Arabian Grand Prix,1,10,15.0,4
2021,Spanish Grand Prix,1,8,11.0,2
2021,São Paulo Grand Prix,1,6,10.0,3
2022,Australian Grand Prix,2,4,27.0,5
2022,Bahrain Grand Prix,1,46,51.0,4
2022,Belgian Grand Prix,1,2,5.0,3
2022,British Grand Prix,1,39,43.0,4
2022,Canadian Grand Prix,1,49,55.0,5
2022,Dutch Grand Prix,1,56,61.0,4
2022,Emilia Romagna Grand Prix,1,1,5.0,4
2022,French Grand Prix,1,18,21.0,2
2022,Italian Grand Prix,1,47,,6
2022,Japanese Grand Prix,1,1,6.0,5
2022,Miami Grand Prix,1,40,47.0,6
2022,Monaco Grand Prix,2,1,33.0,6
2022,Saudi Arabian Grand Prix,1,16,21.0,4
2022,Singapore Grand Prix,2,8,40.0,6
2022,São Paulo Grand Prix,2,1,60.0,12
2022,United States Grand Prix,2,18,26.0,7
2023,Australian Grand Prix,3,1,57.0,9
2023,Austrian Grand Prix,1,1,4.0,3
2023,Azerbaijan Grand Prix,1,10,14.0,3
2023,British Grand Prix,1,32,39.0,6
2023,Canadian Grand Prix,1,12,17.0,4
2023,Dutch Grand Prix,2,16,67.0,7
2023,Japanese Grand Prix,1,1,5.0,4
2023,Las Vegas Grand Prix,2,4,29.0,6
2023,Mexico City Grand Prix,1,34,36.0,2
2023,Qatar Grand Prix,1,1,5.0,4
2023,Saudi Arabian Grand Prix,1,18,21.0,2
2023,Singapore Grand Prix,1,20,23.0,2
2023,São Paulo Grand Prix,1,1,5.0,4
