feature,importance_mean,importance_std
grid,0.1269052568462082,0.01236212946316678
grid_norm,0.0999573698650273,0.014106633239958644
driver_standings_position_pre_race,0.014589122934101695,0.007316065538981414
constructor_standings_position_pre_race,0.011865191220334293,0.010365636705351735
driverId_852,0.01126999345332801,0.004759895046461905
team_avg_grid,0.010233512497058539,0.004367878001936757
driver_standings_points_pre_race,0.006746100179422077,0.0072393955542096825
team_name_Mercedes       ,0.0067104183863147095,0.0016056014318263296
team_name_Haas F1 Team   ,0.0047943333474290695,0.00329354685810201
constructorId_213,0.004662055420968559,0.0031932988738098775
team_name_Alpine F1 Team ,0.00315652046589584,0.002244839629959924
rainfall_any,0.0030431566788318596,0.003778740978940878
team_name_AlphaTauri     ,0.00272192997723768,0.0038762385988021205
driverId_846,0.002547560444239483,0.001368408500556698
constructorId_131,0.002197165307806137,0.002664176993567475
driverId_842,0.002174343084210628,0.00155058979172278
constructorId_214,0.001991821318292608,0.0024142793332908663
teammate_grid,0.0017142256689163804,0.006527080984003518
constructorId_51,0.0017040905783399895,0.0029415581820124944
driverId_847,0.0016285717254439836,0.0013384284267073865
constructorId_117,0.0016278340818517202,0.005587013791436153
team_name_Ferrari        ,0.0015790368826496316,0.002238703370847652
constructorId_210,0.0012322257809964765,0.003328460449225124
driverId_822,0.0012306639320531555,0.0025378380467229868
team_name_Aston Martin   ,0.0012059609603703668,0.004158463791610935
constructorId_6,0.0010403982131563573,0.0018446755322661795
driverId_840,0.0009605995395042255,0.002925386112548916
team_name_Williams       ,0.0007584813484923014,0.00342922939296897
driverId_855,0.0006837055021624794,0.0012324933640303977
airtemp_mean,0.0004690668763650652,0.004710987019371615
driverId_4,0.00026181469974009277,0.0018690163550591041
driverId_854,0.0,0.0
driverId_859,0.0,0.0
driverId_858,0.0,0.0
driverId_857,0.0,0.0
raceId_1052,0.0,0.0
driverId_841,0.0,0.0
driverId_849,0.0,0.0
driverId_853,0.0,0.0
driverId_856,0.0,0.0
year,0.0,0.0
driverId_9,0.0,0.0
driverId_20,0.0,0.0
driverId_807,0.0,0.0
driverId_8,0.0,0.0
driverId_830,0.0,0.0
driverId_817,0.0,0.0
raceId_1069,0.0,0.0
raceId_1067,0.0,0.0
raceId_1066,0.0,0.0
raceId_1065,0.0,0.0
raceId_1064,0.0,0.0
raceId_1063,0.0,0.0
raceId_1062,0.0,0.0
raceId_1061,0.0,0.0
raceId_1060,0.0,0.0
raceId_1059,0.0,0.0
raceId_1058,0.0,0.0
raceId_1057,0.0,0.0
raceId_1056,0.0,0.0
raceId_1055,0.0,0.0
raceId_1054,0.0,0.0
raceId_1053,0.0,0.0
raceId_1086,0.0,0.0
raceId_1087,0.0,0.0
raceId_1088,0.0,0.0
raceId_1089,0.0,0.0
raceId_1091,0.0,0.0
raceId_1092,0.0,0.0
raceId_1093,0.0,0.0
raceId_1094,0.0,0.0
raceId_1095,0.0,0.0
raceId_1096,0.0,0.0
raceId_1098,0.0,0.0
raceId_1099,0.0,0.0
raceId_1100,0.0,0.0
raceId_1101,0.0,0.0
raceId_1102,0.0,0.0
raceId_1104,0.0,0.0
raceId_1070,0.0,0.0
raceId_1071,0.0,0.0
raceId_1072,0.0,0.0
raceId_1073,0.0,0.0
raceId_1074,0.0,0.0
raceId_1075,0.0,0.0
raceId_1076,0.0,0.0
raceId_1077,0.0,0.0
raceId_1078,0.0,0.0
raceId_1079,0.0,0.0
raceId_1080,0.0,0.0
raceId_1081,0.0,0.0
raceId_1082,0.0,0.0
raceId_1083,0.0,0.0
raceId_1084,0.0,0.0
raceId_1085,0.0,0.0
raceId_1105,0.0,0.0
raceId_1106,0.0,0.0
raceId_1107,0.0,0.0
raceId_1108,0.0,0.0
raceId_1109,0.0,0.0
raceId_1110,0.0,0.0
raceId_1111,0.0,0.0
raceId_1112,0.0,0.0
raceId_1113,0.0,0.0
raceId_1114,0.0,0.0
raceId_1115,0.0,0.0
raceId_1116,0.0,0.0
raceId_1117,0.0,0.0
raceId_1118,0.0,0.0
raceId_1119,0.0,0.0
raceId_1120,0.0,0.0
driverId_839,-5.3281260353965634e-05,0.0008392919164719059
driverId_832,-0.00012125742433305442,0.0019486291809121452
driverId_825,-0.0001837221814263712,0.0012511381404729826
driverId_848,-0.0006676877051345787,0.0020592490229985193
constructorId_3,-0.0011029900248977654,0.0035054953368825336
constructorId_9,-0.0012019562814634787,0.0020263771931893484
windspeed_mean,-0.0016484762870891067,0.00681976680285098
driverId_815,-0.001746893549646622,0.0009782323349495888
team_name_Red Bull       ,-0.0018395643092822933,0.001249011075957371
constructor_standings_points_pre_race,-0.0019503376404484852,0.008813753589011455
team_name_McLaren        ,-0.0019652419279507782,0.0019465091037882082
tracktemp_mean,-0.003068493055593824,0.006059882499921478
humidity_mean,-0.00329635001676114,0.0035411530748823677
driverId_844,-0.003939746867468774,0.0015619891542368613
pressure_mean,-0.00493198219923503,0.0050978851678825775
round,-0.006443446703151667,0.002904248381994618
